user_id,subj_id,device_id,cohort_id,dropped,drop_type,rank,rank_date,pref,rtc_checkin_date,brpc_attempts,pop,mos,pebd,eas,dob,ht,wt,area_code,married,city,state,hs_name,hs_city,hs_state,hs_grad_year,hs_sports,hs_clubs,college_name,college_city,college_state,college_grad_year,college_sports,college_clubs,hobbies,swimming_exp,workout_exp,DOR_Time,DOR_Activity,drop_date,age,height,weight
1,c12574be-c508-4482-b594-418cb0c7c68d,13,1,True,DOR,HN,2023-02-18,UH,NA,1,DE,140,2022-01-22,2033-02-07,1985-06-01,65,153,320,N,Laurenport,GA,Sanders Group,East Matthewshire,AZ,2015,2,4,Soto Inc,NA,KS,NA,NA,NA,Senior shoulder police past.,1,3,NA,Z,NA,42,56,167
2,db8af739-9d02-4f1e-a5f4-de0cc73c078a,19,2,True,DOR,PFC,2020-02-06,UH,20184804,3,NE,286,2016-07-18,2031-11-04,1997-11-08,74,179,870,N,Johnbury,MP,Rodriguez-Brooks,South Nancy,NV,2007,2,2,Webb LLC,NA,NA,NA,0,3,Baby stage employee grow set already training parent.,3,3,09:21:48,A,2018-04-29,30,64,175
3,fa583007-7831-41e3-813e-272561a9ac59,14,2,False,DOR,HN,2020-08-27,ALAT,20184763,3,VA,527,2016-06-25,2030-11-06,2003-09-09,70,199,174,N,Scottfurt,WY,Salazar Group,Palmerview,PA,2015,2,0,"Torres, Johnson and Scott",NA,NY,2014,1,NA,Upon him image.,2,3,19:09:28,C,NA,48,71,157
4,da971565-4e1b-4441-b853-87ac0982ca70,2,1,False,Pass,PFC,2014-02-19,MCT/HZ,20183756,1,MA,706,2016-09-05,2031-02-28,1992-02-08,62,193,652,N,North Susanborough,VT,Austin-King,North Jessica,FL,2020,3,3,NA,NA,NA,2017,NA,0,Evidence best unit bank.,3,2,04:54:34,NA,2022-09-18,30,70,167
5,aa24b0f2-f3db-4d51-b328-6efa34c5c6ce,1,2,True,Pass,PFC,2018-10-10,NAV,NA,3,AL,281,2017-07-27,2029-12-11,1973-01-13,64,182,456,N,Ricestad,AK,Lewis-Smith,Port Steven,AK,2011,3,4,Lewis-Guerra,NA,NC,2015,NA,NA,Parent site individual director a.,1,1,NA,NA,NA,43,55,194
6,bf8c4710-1e15-4022-9c9f-a5811b1aa52e,4,2,True,Pass,PFC,2021-10-02,NAV,20186327,2,NJ,441,2023-07-18,2025-02-10,2003-06-03,72,193,263,N,South Larrymouth,NV,Ramirez-Hull,New Brian,SC,2014,2,0,NA,NA,WY,2013,3,NA,Range ball marriage how partner however grow.,3,1,17:31:17,NA,2019-04-20,36,63,159
7,788be63e-beb9-4a14-a1a4-19c8a25642d0,6,2,True,DOR,PFC,2023-08-25,UH,NA,1,LA,380,2022-04-08,2031-05-25,1975-08-07,65,164,166,N,Davidtown,NJ,Diaz LLC,East Thomas,WA,2010,4,4,NA,Michaelside,NA,NA,4,4,Politics simply foot box east edge.,2,3,03:05:44,NA,NA,28,73,198
8,730fa00c-c7e5-4dff-86f6-c844707ea879,18,1,False,Pass,HN,2022-03-08,NAV,20184083,3,WI,253,2023-03-30,2033-02-05,1988-07-23,66,140,317,N,Lake Kevinburgh,KS,"Melton, Owens and Campbell",Georgehaven,CA,2015,2,4,NA,Espinozaland,NA,2016,0,NA,Clearly final late guess section fill treatment.,1,2,10:33:59,P,NA,40,55,187
9,4c9fe48e-bcda-4f70-b18d-31e2ce72d4ca,1,2,False,Pass,SGT,2020-12-13,UH,NA,1,SC,971,2019-04-03,2026-11-11,1980-03-11,65,167,803,N,Brittanyland,PW,"Nelson, Burton and Vaughan",South Judy,FM,2015,0,4,NA,Warrenchester,NA,2020,4,2,Class still leave compare.,2,1,NA,NA,NA,50,68,196
10,d489f5a5-e278-4b1d-9d70-ec7dd778f093,18,1,True,Pass,SGT,2023-01-10,ALAT,NA,3,OH,364,2022-04-27,2024-10-08,1990-11-27,63,149,731,N,Lake Maryborough,MO,"Tate, Tyler and Reid",Kempland,OH,2015,2,2,Farrell LLC,NA,VA,2015,NA,NA,Here apply close then.,2,1,NA,B,2023-02-14,46,59,150
11,6e83f8bc-e1d1-4ecc-b3e1-f8e9c5348e15,7,1,False,Pass,SGT,2015-10-02,UH,NA,3,WI,875,2017-03-24,2029-05-10,1983-03-09,70,194,420,N,Harrisonland,OK,"Hayes, Alexander and Dixon",Wongburgh,GU,2007,1,4,Cook Ltd,NA,NA,2019,0,NA,Eye collection eat mean.,1,2,23:30:37,U,2017-10-16,39,75,146
12,567b2719-2d89-4771-9abd-e1972ca7bd02,15,1,False,Pass,PFC,2023-03-15,NAV,NA,3,FM,382,2018-07-17,2031-02-28,2002-07-30,71,148,535,N,West John,VA,Gallagher PLC,West Christophershire,AS,2005,1,4,NA,Robbinsfurt,NA,2002,0,NA,Seat tell remember political cultural against.,3,2,NA,O,NA,48,66,182
13,84d5380c-9cd4-43fc-a3a2-e82a58916b12,6,2,True,Pass,PFC,2014-10-12,ALAT,20185189,3,WV,995,2015-03-22,2030-02-28,1988-07-21,71,170,142,N,Vincenthaven,NM,"Wyatt, Odom and Hammond",Rileyland,SC,2007,4,1,NA,Virginiafort,NA,2006,NA,NA,Develop certainly person.,3,3,NA,G,NA,30,56,198
14,07480c75-3499-48f2-9ba6-a58a43e2a9e1,10,2,False,Pass,PFC,2016-08-08,UH,20184582,1,MH,194,2014-10-24,2029-06-02,1997-07-03,65,151,946,N,West Kelli,MA,"Meyer, Brown and Henderson",Morenoburgh,KS,2016,1,0,NA,NA,NA,NA,NA,1,Build network individual her data social early.,1,2,NA,NA,2023-06-06,32,59,136
15,f781a46c-f061-492d-9077-82f0b254443a,1,2,True,Pass,SGT,2014-11-30,NAV,NA,1,TN,666,2020-04-28,2033-04-28,2000-02-07,63,164,564,N,Thomaschester,SC,Davis LLC,Clarkburgh,WV,2018,4,2,Rich-Buckley,NA,NA,NA,4,0,Cell cover skin spring serious many network.,1,2,12:34:16,Z,2017-07-21,24,55,191
16,f2a80646-c0d6-483c-ab0d-277a0e959def,2,1,True,DOR,SGT,2020-08-30,ALAT,NA,2,NY,164,2014-04-07,2030-03-11,1990-02-15,62,169,158,N,Loweport,LA,"Reeves, Miranda and Adams",South Melodyton,OK,2015,4,0,Giles-Johnson,NA,WV,NA,3,NA,Image wish identify adult player impact lose play.,3,3,03:37:58,NA,NA,42,61,166
17,76164592-c9a5-4556-8139-9e8b817e40a7,12,2,True,DOR,PFC,2018-10-02,ALAT,20185552,3,PA,255,2019-06-26,2026-03-17,1975-08-13,63,148,220,N,North Michealborough,NE,Clark-Schultz,New Chelsea,PA,2012,1,3,NA,West Taylor,NA,2007,0,0,Clear model create show billion store real.,2,2,09:53:50,N,NA,41,70,150
18,5b824bef-44cb-4050-bba2-98752430dcee,4,2,True,DOR,HN,2015-07-20,NAV,20188356,2,LA,578,2021-12-21,2032-10-14,1998-01-01,68,148,205,N,Port Anthonyberg,NY,"Matthews, Anderson and Walter",Curtisland,MT,2011,3,3,NA,NA,IA,2017,3,1,Thought company event million camera offer major direction.,3,3,NA,L,2017-02-13,24,59,196
19,7ff34fc0-241b-49b4-a172-50123590bd9c,2,1,False,DOR,SGT,2018-12-26,MCT/HZ,20184291,3,GA,890,2016-10-14,2025-02-01,1978-09-29,66,153,196,N,Johnchester,AR,"Davis, Grant and Caldwell",East Rebeccamouth,TX,2015,4,2,NA,South Lisa,WA,NA,1,4,Enjoy any degree nature marriage head oil.,2,2,NA,NA,NA,30,64,167
20,68f4b1c3-ee9e-4f3c-99de-9391993d2338,14,2,True,Pass,SGT,2020-05-30,NAV,20180509,2,NY,428,2015-08-28,2025-07-14,2003-02-25,69,153,257,N,Mcdonaldhaven,AR,Bailey Group,Wilsonfort,AR,2018,0,4,NA,NA,VI,NA,4,NA,Real policy coach.,3,3,03:50:05,NA,2014-12-19,41,65,191
21,1efd9a24-ee45-4d8b-a0fc-23e3dfca6733,4,2,False,Pass,SGT,2014-05-31,UH,20180265,2,CA,874,2020-05-02,2032-01-08,1979-04-13,74,191,380,N,Port Kimberlyton,MA,Rice PLC,Lake Garrett,AR,2014,0,0,Fisher-Hanson,Harveyport,IL,2019,NA,NA,Culture theory work in.,2,2,01:33:15,NA,NA,31,66,174
22,bb3e47ab-7f82-4fcb-a882-73fbc06e902b,19,2,False,DOR,PFC,2015-11-26,MCT/HZ,20183073,1,MI,343,2019-07-23,2028-03-04,1979-04-02,69,168,770,N,East Davidburgh,WA,Payne-Bennett,New Christopher,MP,2009,2,3,NA,NA,NA,NA,NA,2,Government job very move.,3,1,NA,K,NA,44,65,165
23,576c8f00-8a93-4d50-8ad2-faafef2a0ede,7,2,True,Pass,HN,2015-06-22,ALAT,NA,2,NH,896,2022-03-24,2025-11-20,1985-08-21,62,164,422,N,South Michaelton,WY,Rodriguez-Vasquez,Port David,DC,2012,3,0,NA,Lake Markmouth,MA,2012,NA,4,Former water whether write executive.,3,3,18:55:37,NA,2014-07-19,30,67,152
24,9f1f397f-b27c-4286-a393-ba77f4243e3c,6,2,True,DOR,SGT,2022-02-20,MCT/HZ,NA,3,VA,281,2018-08-12,2032-07-02,1997-08-30,75,187,663,N,Port Christian,LA,Bray Ltd,Waltershire,AL,2016,1,4,NA,NA,PW,NA,NA,1,Rock real nor civil member trade send.,3,2,05:24:04,M,2021-03-05,23,71,136
25,d293015e-5ba0-47c8-8840-c17ebc6d3501,1,1,True,DOR,PFC,2022-01-14,MCT/HZ,NA,3,IL,618,2019-03-13,2033-05-02,1986-10-05,71,176,565,N,Cynthiaport,AL,"Stone, Alexander and Barnett",Victorburgh,PW,2008,0,1,Williams-Hood,Blackwellchester,WV,2019,4,NA,Follow list suddenly series interest.,3,3,09:23:47,J,2016-09-10,37,62,181
26,645e2570-b574-4509-9a60-9a91bc5f66e1,13,2,True,Pass,SGT,2014-01-29,MCT/HZ,20186266,1,IL,376,2015-01-20,2032-02-07,1993-09-22,64,199,527,N,Timothyfurt,CT,"Williams, Ross and Massey",Dawnland,KS,2014,4,4,"Morgan, Roberts and Herrera",NA,NA,NA,NA,NA,Can campaign serve rise result threat.,1,3,10:43:29,NA,2021-12-19,42,64,134
27,17d40e40-4a38-483b-9ff4-6d42156ec7a3,16,2,True,Pass,HN,2017-10-19,MCT/HZ,20181224,1,MO,191,2020-09-30,2029-12-12,1985-12-02,70,186,891,N,West Patriciabury,RI,Yu and Sons,Reedside,KS,2014,0,3,Finley-Patterson,Ariasport,HI,NA,NA,4,Contain face go guess occur family certain.,1,2,NA,NA,NA,24,71,138
28,b7ee8cce-a749-41f5-b61a-3e444b7f0210,1,2,True,Pass,PFC,2021-11-19,ALAT,NA,1,NV,254,2015-04-14,2026-04-23,1978-01-28,61,130,553,N,East Charlesville,ND,Crane PLC,Lake Melissaberg,IN,2019,4,0,NA,NA,NA,NA,4,NA,Occur study wonder could personal.,3,1,06:37:59,V,2022-12-01,20,74,141
29,6923143e-0bb8-434a-bd61-beb73ceb9bba,20,2,True,Pass,PFC,2018-11-07,MCT/HZ,20182950,3,SC,986,2023-02-27,2029-06-19,1976-03-06,74,186,717,N,Meganhaven,CT,Campbell-Taylor,Brittanyland,TX,2007,1,1,Friedman Ltd,Bellshire,GU,2001,NA,NA,Finally service glass.,1,1,NA,NA,2019-04-12,34,66,151
30,b3b41bdd-1d00-41bb-adf4-077346e44ba7,3,2,True,Pass,SGT,2013-10-11,UH,NA,3,MP,635,2022-08-28,2027-10-17,1993-09-23,67,137,836,N,Lake Sandra,ID,"Collins, Edwards and Mclean",Johnsonburgh,MP,2020,3,1,NA,NA,ME,2020,NA,1,Lot final huge page.,1,2,NA,B,NA,39,62,192
31,4bf9d619-f4e5-4980-98a5-ebd607bea316,8,2,False,Pass,SGT,2014-05-28,UH,NA,2,NY,866,2014-11-25,2027-04-22,1982-07-29,73,130,342,N,South Troy,AZ,Phillips Inc,North Jackie,AR,2020,2,4,"Haney, Nelson and Sanders",NA,MP,NA,0,4,Drop how return.,3,3,NA,NA,2020-10-19,24,66,177
32,35ce8865-58eb-4fe8-9e6a-537b3e5287bc,2,2,True,DOR,SGT,2018-06-09,NAV,NA,3,MP,302,2021-05-19,2027-06-02,1999-08-30,67,172,108,N,Cervanteschester,SD,King PLC,Port Michaelfort,GA,2010,3,1,NA,NA,NA,NA,NA,NA,Whom morning by rule nor play our five.,2,1,NA,M,NA,33,59,194
33,59b972c6-1d80-4fe8-8a0c-cac315b4530a,4,2,False,DOR,HN,2015-01-27,MCT/HZ,20186895,1,TX,715,2017-02-27,2025-02-07,1995-10-04,63,143,150,N,Krystalside,AZ,Long and Sons,Port Matthew,FL,2017,0,3,NA,Castilloton,MP,NA,NA,NA,Around return add service safe.,1,3,NA,A,NA,25,72,159
34,54aab33e-ccc4-41d3-8ff9-fa99aaefe43c,9,2,False,DOR,PFC,2015-02-14,ALAT,20183918,3,MI,983,2017-11-25,2023-10-21,2000-03-31,68,177,178,N,Beckberg,VA,"Jones, Jackson and Nicholson",Rachelside,VI,2016,3,3,NA,North Thomasshire,NA,2009,4,NA,Area return director near by.,2,3,12:43:06,U,NA,27,69,199
35,22e6f7b1-19cd-4756-9706-3402cbb1355d,16,2,False,DOR,PFC,2020-10-14,NAV,NA,3,OR,557,2016-05-14,2028-04-30,1991-01-04,70,168,376,N,Melissaland,ID,"James, Turner and Wilcox",Port Lisa,TN,2014,2,3,Livingston-Munoz,NA,NA,NA,NA,NA,Range discover most shake us.,3,1,NA,D,NA,27,73,172
36,620c450f-d46e-4e99-83f8-8528bbcef434,18,2,True,DOR,PFC,2014-12-03,ALAT,NA,3,PR,529,2013-11-02,2025-04-20,1993-01-21,71,172,540,N,North Jamie,AS,Zuniga-Griffin,West Rodney,KS,2007,0,1,Morgan and Sons,West James,NA,NA,2,NA,When lead act either special necessary worry financial.,2,1,23:48:04,H,NA,48,59,194
37,066e5794-2dde-4733-9130-d74d63e8f88c,10,2,False,Pass,PFC,2023-08-22,UH,NA,2,WI,916,2023-08-22,2029-09-16,1997-06-04,75,171,155,N,Lisaland,ID,Jones Inc,Gouldshire,UT,2016,0,4,Poole-Rogers,NA,NA,NA,1,1,Series receive music area area scene feeling.,3,2,NA,A,NA,26,62,163
38,1251d41c-4c31-436c-8071-08a491f2cba8,13,2,True,DOR,SGT,2015-08-06,MCT/HZ,20189116,1,VT,791,2015-05-12,2030-07-15,1983-01-19,60,187,468,N,Lake Kevinland,MT,"Jacobs, Werner and Smith",New Terriville,RI,2006,1,0,NA,NA,OR,NA,4,NA,Girl at film citizen whom another.,3,1,16:30:12,NA,NA,20,61,176
39,e2bf04af-9cdc-4953-82aa-b4252a430a61,10,1,True,Pass,SGT,2015-11-24,UH,NA,2,IL,883,2016-11-10,2027-11-19,1997-07-18,68,137,818,N,West Eddie,WI,Bailey-Morton,Lake Sarah,OH,2002,3,2,Alexander PLC,Travismouth,OH,2014,NA,4,Threat sign staff table fly you gun surface.,3,3,00:02:40,R,NA,27,57,175
40,56154459-24f9-43e8-b3d5-9110bf15b276,7,2,True,Pass,PFC,2023-02-06,ALAT,NA,1,DE,456,2023-06-07,2030-05-21,1980-09-23,68,199,867,N,Brendafurt,FL,"Ramos, Jefferson and James",Walkertown,NY,2019,0,3,NA,Michelleview,CO,NA,2,2,Happen wish four agent.,3,1,NA,O,2021-04-24,34,60,196
41,960689ec-13e6-4df2-8343-60cc9001b35d,3,1,False,DOR,HN,2020-08-02,UH,20188913,2,NE,961,2015-08-08,2030-03-10,1988-12-17,68,163,494,N,Lake Jessicachester,MI,Pearson Group,Melissamouth,HI,2000,4,1,NA,NA,KS,NA,0,NA,Thank career business type around lot debate.,2,2,07:13:44,S,NA,42,70,165
42,a7c46476-bdfd-4a4b-84b0-d872765f68ff,15,2,True,DOR,SGT,2022-11-28,ALAT,NA,2,ME,101,2023-01-16,2031-08-07,1984-08-10,69,134,748,N,Lake Mark,CA,Howard Group,Martinfort,GU,2012,2,3,NA,South Jeffrey,NA,NA,NA,2,Weight manage fill big approach cut six.,3,3,NA,NA,NA,23,60,163
43,142b64a1-7f0f-4f80-be15-b5f87cb3dd7f,1,2,False,DOR,PFC,2023-03-30,UH,NA,2,MA,265,2020-12-22,2025-11-11,1992-12-08,63,135,352,N,East Marie,TX,Smith-Guzman,Fisherhaven,AS,2002,1,2,NA,NA,NA,NA,2,3,Thank pay relate under evening cell.,3,1,NA,E,2014-03-31,50,65,158
44,3018a8b7-f2a0-45b2-ad49-cf7cfcdc68c3,16,2,True,Pass,HN,2015-10-14,UH,NA,1,WY,920,2017-05-02,2030-05-22,1973-06-13,63,162,260,N,Lake Thomas,WA,Bryant-Gates,Ortizmouth,GA,2006,1,1,Zimmerman-Shelton,Richardtown,NA,NA,2,NA,Natural process standard painting final once.,2,1,NA,M,2021-09-10,24,55,188
45,cc6433f8-1637-4d20-a7cb-a2d318590364,11,1,True,Pass,HN,2022-01-14,NAV,NA,1,NE,423,2019-03-24,2025-02-08,1998-11-27,61,139,239,N,West Bettyberg,NM,Clark and Sons,Lake Brooke,DE,2009,2,0,NA,NA,TN,NA,NA,4,Chance clear actually support partner line.,3,2,05:15:14,S,NA,36,67,159
46,4c464907-65d6-497c-9541-962d137c01c3,17,1,True,Pass,SGT,2019-09-16,ALAT,20186757,2,ND,172,2017-07-22,2030-04-30,1986-11-06,63,146,529,N,Baileyport,AL,Jackson-Watkins,Jenniferbury,ID,2010,2,0,Lowe and Sons,Charlotteborough,NA,2018,NA,NA,Upon us work six general adult minute long.,2,2,10:51:24,Z,NA,25,59,175
47,7a0d9377-69d2-4fee-9109-0379a5b5cbb8,9,1,True,Pass,SGT,2014-11-05,NAV,NA,2,NV,315,2020-04-02,2029-02-07,1997-04-09,65,149,824,N,Juliebury,ME,"Grant, Merritt and Porter",Williamberg,KY,2002,2,0,"Chavez, Myers and Galloway",NA,NA,NA,NA,NA,Real support kind.,1,2,NA,Y,2023-08-07,47,67,163
48,b5de3c60-d997-42a4-ba7f-a16815515574,5,1,False,DOR,PFC,2020-05-12,NAV,20189471,3,MH,369,2019-02-24,2028-03-08,1979-03-09,67,167,541,N,Alisonbury,AS,Miranda Ltd,East Jeffreymouth,SD,2005,0,1,NA,Katherinefort,NA,2011,0,4,Answer turn sell quite but child.,1,2,09:38:45,F,2015-07-23,31,74,132
49,66b99055-5933-464c-8e2f-a7c526972d67,1,1,True,Pass,HN,2022-09-27,ALAT,20188425,1,NJ,645,2019-06-04,2027-09-01,1997-11-09,74,199,413,N,Kingville,IL,Jenkins Inc,Porterview,LA,2003,4,3,NA,Watsonside,IA,2016,1,NA,Rock receive fight hope work yourself relate several.,2,2,04:02:01,J,NA,43,70,137
50,d1c479e9-a38d-4101-9459-1ffbc412aa00,5,2,False,Pass,PFC,2020-09-13,UH,NA,3,PW,887,2021-03-23,2029-07-19,2003-05-14,60,162,694,N,Ellisonland,NM,Hernandez-Mathis,Port Tracyberg,IA,2015,0,1,Hobbs Ltd,NA,NA,2000,NA,NA,Information with discuss respond keep society else.,2,2,15:49:36,NA,2020-02-21,34,60,131
51,4ee551d8-5890-4227-a08a-6ca90f378ad8,1,1,True,Pass,SGT,2015-09-30,MCT/HZ,NA,2,PW,691,2015-06-04,2028-04-07,1994-12-09,60,140,554,N,Lake Andreaville,AZ,"Goodwin, Flowers and Bowman",Port Davidmouth,GU,2009,2,4,NA,Harrisberg,NA,NA,NA,NA,Near compare approach room since.,1,2,23:52:27,NA,2022-03-18,35,71,141
52,bc577124-466d-4763-b0be-456137728acd,14,1,True,Pass,PFC,2017-02-27,NAV,NA,1,MP,750,2021-03-15,2031-04-04,1985-05-29,74,192,592,N,Tannershire,WI,"Barnes, Patterson and Mayer",Port Donald,AR,2005,2,3,NA,Samanthamouth,NA,NA,NA,NA,Just sea letter before represent act model.,3,3,18:53:49,NA,NA,23,62,199
53,f3182cd7-f629-4e74-8933-d18de4b914c3,4,1,True,Pass,PFC,2015-02-05,UH,20182347,3,OK,671,2017-02-05,2028-03-29,1988-06-10,63,142,470,N,North Aaronfort,WA,"Valenzuela, Powers and Tucker",South Stephanie,VA,2007,4,0,NA,NA,NA,2015,NA,3,Indeed born tend look data generation.,3,3,02:21:05,I,NA,41,68,141
54,89fa342c-600c-430d-9110-9f4918e09544,15,2,False,Pass,SGT,2014-02-18,ALAT,NA,2,OH,118,2016-12-14,2025-08-08,1976-10-14,64,189,404,N,South Shawn,SC,"Marquez, Williams and Gibson",East Jennifer,OH,2018,3,2,NA,NA,NA,2005,1,0,Administration value cover road where security current collection.,2,3,NA,J,2018-09-12,31,65,143
55,3727630b-ddfd-4711-bab0-ec923a46fe4a,1,2,False,DOR,HN,2021-02-12,ALAT,NA,3,OH,104,2020-10-15,2032-12-29,1999-10-24,70,144,833,N,Thompsonhaven,CT,Garrett Group,West Jacquelineburgh,OK,2005,0,2,NA,Robertotown,GA,NA,NA,NA,Down director nature ball respond.,2,2,23:15:01,N,2023-03-11,34,63,134
56,a1e9b830-efc5-401a-ad5e-1b2efe0c42c8,2,2,False,Pass,HN,2019-12-11,NAV,20187448,2,NH,501,2023-01-19,2024-04-10,1996-04-13,60,190,234,N,South Kristin,OR,Schneider-Gross,North Samantha,FL,2013,2,4,Boyd-Joseph,Longland,NA,NA,NA,4,Soon himself international similar true all.,1,1,04:59:42,H,2014-12-12,35,75,149
57,16587742-ccbc-48b3-9094-ccd0a8a93018,6,1,False,Pass,PFC,2019-11-19,NAV,NA,1,LA,239,2021-06-09,2027-10-16,1976-10-26,75,166,376,N,Carlport,WA,Martinez-Jones,Lewisshire,KS,2004,4,2,"Blake, Schwartz and Wilkins",East Jackiefurt,VA,2017,NA,NA,Knowledge work kid though scene.,2,2,02:45:03,Q,2015-03-18,45,56,199
58,14c72b82-c6c9-42d7-b569-e7bf57004162,2,1,False,DOR,HN,2015-03-11,MCT/HZ,20180381,3,OR,967,2014-08-12,2024-08-03,1977-07-11,62,184,352,N,North Thomasborough,AS,Pena Group,New Dana,MS,2010,4,4,NA,NA,NA,NA,NA,3,Standard could reflect protect get.,3,3,10:49:51,D,NA,49,67,158
59,34aafc45-b2fb-4388-9918-0749fb2fc782,5,1,False,Pass,PFC,2016-10-29,NAV,NA,1,NH,523,2022-07-03,2032-09-18,1997-05-28,73,177,945,N,New Pamelafort,FM,"Howell, Butler and Hendrix",Keithbury,CO,2001,2,3,"Lindsey, Robertson and Frazier",NA,NA,2006,NA,1,Small fire feeling improve traditional book.,2,1,04:09:22,B,NA,24,66,189
60,2a7b204f-b063-4f85-bfc0-dd3b395378a5,11,2,True,Pass,SGT,2018-11-25,MCT/HZ,NA,2,NM,735,2022-10-24,2027-06-22,1976-09-07,72,161,937,N,Campbellton,SD,Short PLC,Johnstonfort,ME,2010,1,2,Hall Ltd,Jacksonfurt,ND,2017,4,NA,Three where dog less middle your very.,1,3,NA,NA,NA,28,73,166
61,394c6d43-bfa3-49bc-b7da-8802baae0f97,13,2,False,DOR,HN,2020-10-24,ALAT,NA,1,MO,463,2016-08-30,2026-09-25,1976-05-18,71,182,674,N,Lake Miaburgh,ND,Mathews-Jones,Hoffmanborough,NV,2012,4,2,"Torres, Holmes and Dyer",East Alanport,NA,2009,NA,NA,Four finish large them school home machine.,2,1,02:04:09,C,NA,35,62,168
